Time,Execution Time
Thu Nov 26 14:51:34 2020,0.10769414901733398
Thu Nov 26 14:51:36 2020,0.11261200904846191
Thu Nov 26 14:51:37 2020,0.11008405685424805
Thu Nov 26 14:51:38 2020,0.10826802253723145
Thu Nov 26 14:51:39 2020,0.10422682762145996
Thu Nov 26 14:51:40 2020,0.10469579696655273
Thu Nov 26 14:51:41 2020,0.10247087478637695
Thu Nov 26 14:51:42 2020,0.10228896141052246
Thu Nov 26 14:51:43 2020,0.10312509536743164
Thu Nov 26 14:51:44 2020,0.10609936714172363
Thu Nov 26 14:51:46 2020,0.1040949821472168
Thu Nov 26 14:51:47 2020,0.10235023498535156
Thu Nov 26 14:51:48 2020,0.10453987121582031
Thu Nov 26 14:51:49 2020,0.1121978759765625
Thu Nov 26 14:51:50 2020,0.1026601791381836
Thu Nov 26 14:51:51 2020,0.10926270484924316
Thu Nov 26 14:51:52 2020,0.11151385307312012
Thu Nov 26 14:51:53 2020,0.11517691612243652
Thu Nov 26 14:51:54 2020,0.11026906967163086
Thu Nov 26 14:51:55 2020,0.1053628921508789
Thu Nov 26 14:51:57 2020,0.1083371639251709
Thu Nov 26 14:51:58 2020,0.10354876518249512
Thu Nov 26 14:51:59 2020,0.10677289962768555
Thu Nov 26 14:52:00 2020,0.11040806770324707
Thu Nov 26 14:52:01 2020,0.10854887962341309
Thu Nov 26 14:52:02 2020,0.10669803619384766
Thu Nov 26 14:52:03 2020,0.10956883430480957
Thu Nov 26 14:52:04 2020,0.10701227188110352
Thu Nov 26 14:52:06 2020,0.11707282066345215
Thu Nov 26 14:52:07 2020,0.10894894599914551
Thu Nov 26 14:52:08 2020,0.09649181365966797
Thu Nov 26 14:52:09 2020,0.1050102710723877
Thu Nov 26 14:52:10 2020,0.11221790313720703
Thu Nov 26 14:52:11 2020,0.11371803283691406
Thu Nov 26 14:52:12 2020,0.1078798770904541
Thu Nov 26 14:52:13 2020,0.11111927032470703
Thu Nov 26 14:52:14 2020,0.10994410514831543
Thu Nov 26 14:52:15 2020,0.11008906364440918
Thu Nov 26 14:52:17 2020,0.10776805877685547
Thu Nov 26 14:52:18 2020,0.10772514343261719
Thu Nov 26 14:52:19 2020,0.10110092163085938
Thu Nov 26 14:52:20 2020,0.10590314865112305
Thu Nov 26 14:52:21 2020,0.10113406181335449
Thu Nov 26 14:52:22 2020,0.11324381828308105
Thu Nov 26 14:52:23 2020,0.10902905464172363
Thu Nov 26 14:52:24 2020,0.09838604927062988
Thu Nov 26 14:52:25 2020,0.1084139347076416
Thu Nov 26 14:52:27 2020,0.11116814613342285
Thu Nov 26 14:52:28 2020,0.10066008567810059
Thu Nov 26 14:52:29 2020,0.10747790336608887
Thu Nov 26 14:52:30 2020,0.10883712768554688
Thu Nov 26 14:52:31 2020,0.10445070266723633
Thu Nov 26 14:52:32 2020,0.10335826873779297
Thu Nov 26 14:52:33 2020,0.10247397422790527
Thu Nov 26 14:52:34 2020,0.10411190986633301
Thu Nov 26 14:52:35 2020,0.10731983184814453
Thu Nov 26 14:52:37 2020,0.11544013023376465
Thu Nov 26 14:52:38 2020,0.10720515251159668
Thu Nov 26 14:52:39 2020,0.10250997543334961
Thu Nov 26 14:52:40 2020,0.1055300235748291
Thu Nov 26 14:52:41 2020,0.11150312423706055
Thu Nov 26 14:52:42 2020,0.11675691604614258
Thu Nov 26 14:52:43 2020,0.11588239669799805
Thu Nov 26 14:52:44 2020,0.10641098022460938
Thu Nov 26 14:52:45 2020,0.11078000068664551
Thu Nov 26 14:52:47 2020,0.1026611328125
Thu Nov 26 14:52:48 2020,0.10861706733703613
Thu Nov 26 14:52:49 2020,0.10133790969848633
Thu Nov 26 14:52:50 2020,0.11061406135559082
Thu Nov 26 14:52:51 2020,0.10325002670288086
Thu Nov 26 14:52:52 2020,0.10298609733581543
Thu Nov 26 14:52:53 2020,0.1056511402130127
Thu Nov 26 14:52:54 2020,0.1143958568572998
Thu Nov 26 14:52:56 2020,0.10475897789001465
Thu Nov 26 14:52:57 2020,0.10737109184265137
Thu Nov 26 14:52:58 2020,0.10980010032653809
Thu Nov 26 14:52:59 2020,0.11017394065856934
Thu Nov 26 14:53:00 2020,0.10438132286071777
Thu Nov 26 14:53:01 2020,0.10178422927856445
Thu Nov 26 14:53:02 2020,0.1027519702911377
Thu Nov 26 14:53:03 2020,0.11896300315856934
Thu Nov 26 14:53:04 2020,0.1118626594543457
Thu Nov 26 14:53:06 2020,0.09830093383789062
Thu Nov 26 14:53:07 2020,0.10994791984558105
Thu Nov 26 14:53:08 2020,0.1309828758239746
Thu Nov 26 14:53:09 2020,0.10840487480163574
Thu Nov 26 14:53:10 2020,0.22193384170532227
Thu Nov 26 14:53:11 2020,0.10485696792602539
Thu Nov 26 14:53:12 2020,0.1055459976196289
Thu Nov 26 14:53:13 2020,0.09941291809082031
Thu Nov 26 14:53:15 2020,0.10445117950439453
Thu Nov 26 14:53:16 2020,0.1080939769744873
Thu Nov 26 14:53:17 2020,0.10988283157348633
Thu Nov 26 14:53:18 2020,0.1087491512298584
Thu Nov 26 14:53:19 2020,0.10821890830993652
Thu Nov 26 14:53:20 2020,0.10889601707458496
Thu Nov 26 14:53:21 2020,0.11124801635742188
Thu Nov 26 14:53:22 2020,0.10091400146484375
Thu Nov 26 14:53:23 2020,0.10422778129577637
Thu Nov 26 14:53:25 2020,0.10859179496765137
Thu Nov 26 14:53:26 2020,0.11098790168762207
Thu Nov 26 14:53:27 2020,0.11513113975524902
Thu Nov 26 14:53:28 2020,0.11591601371765137
Thu Nov 26 14:53:29 2020,0.10732698440551758
Thu Nov 26 14:53:30 2020,0.10370206832885742
Thu Nov 26 14:53:31 2020,0.12400102615356445
Thu Nov 26 14:53:32 2020,0.11682295799255371
Thu Nov 26 14:53:34 2020,0.10616493225097656
Thu Nov 26 14:53:35 2020,0.10425901412963867
Thu Nov 26 14:53:36 2020,0.11055898666381836
Thu Nov 26 14:53:37 2020,0.10701203346252441
Thu Nov 26 14:53:38 2020,0.11240506172180176
Thu Nov 26 14:53:39 2020,0.12213897705078125
Thu Nov 26 14:53:40 2020,0.10059785842895508
Thu Nov 26 14:53:41 2020,0.11259102821350098
Thu Nov 26 14:53:42 2020,0.10535025596618652
Thu Nov 26 14:53:44 2020,0.10455608367919922
Thu Nov 26 14:53:45 2020,0.10328984260559082
Thu Nov 26 14:53:46 2020,0.10025382041931152
Thu Nov 26 14:53:47 2020,0.10421514511108398
Thu Nov 26 14:53:48 2020,0.1023249626159668
Thu Nov 26 14:53:49 2020,0.1004800796508789
Thu Nov 26 14:53:50 2020,0.11405587196350098
Thu Nov 26 14:53:51 2020,0.11146688461303711
Thu Nov 26 14:53:52 2020,0.10990476608276367
Thu Nov 26 14:53:54 2020,0.10868597030639648
Thu Nov 26 14:53:55 2020,0.10956382751464844
Thu Nov 26 14:53:56 2020,0.11365509033203125
Thu Nov 26 14:53:57 2020,0.09821009635925293
Thu Nov 26 14:53:58 2020,0.09974908828735352
Thu Nov 26 14:53:59 2020,0.10447311401367188
Thu Nov 26 14:54:00 2020,0.11132216453552246
Thu Nov 26 14:54:01 2020,0.10822582244873047
Thu Nov 26 14:54:02 2020,0.10599517822265625
Thu Nov 26 14:54:04 2020,0.1144258975982666
Thu Nov 26 14:54:05 2020,0.11336493492126465
Thu Nov 26 14:54:06 2020,0.11737489700317383
Thu Nov 26 14:54:07 2020,0.1018979549407959
